county_name,fips,latitude,longitude,year,total_pop,median_income,median_home_value,price_to_income,median_gross_rent,rent_burden_pct,severe_rent_burden_pct,total_housing_units,housing_units_per_1k,vacancy_rate_pct,homeownership_pct,homeownership_white_nh_pct,homeownership_black_pct,homeownership_hispanic_pct,poverty_rate_pct,pct_white_nh,pct_black_nh,pct_asian_nh,pct_hispanic,pct_aian_nh,ptile_rent_burden,ptile_price_income,ptile_poverty,ptile_homeownership,ptile_vacancy,composite_score
Jackson,17077,37.7850601569728,-89.38205590834043,2022,53176,44847,123400,2.75,757,51.2,27.6,27835,523.5,16.9,48.5,56.2,19.2,35.1,23,73,14.4,3.6,4.7,0.1,98.01980198019803,94.05940594059405,99.00990099009901,100,84.15841584158416,95
Champaign,17019,40.13986354068176,-88.19916510096226,2022,206525,61090,192600,3.15,977,46.6,26.8,93444,452.5,11.7,53.5,64.1,26.6,37,18.7,65.1,13,11,6.5,0.1,90.0990099009901,97.02970297029702,91.0891089108911,99.00990099009901,50.495049504950494,85.5
McDonough,17109,40.456106868609595,-90.6778549430889,2022,27370,48904,100400,2.05,688,50.8,33.7,13655,498.9,15,61.3,63.4,31.2,7.4,19.8,86.7,5.2,2.5,3,0,97.02970297029702,57.42574257425742,96.03960396039604,95.04950495049505,80.19801980198021,85.1
Knox,17095,40.93166438376863,-90.2132312342518,2022,49751,50263,96800,1.93,694,51.7,27.9,23809,478.6,12.9,68.7,71.5,25.7,69,16.3,81.4,8,1,6.2,0.1,100,44.554455445544555,84.15841584158416,88.11881188118812,67.32673267326733,76.8
Kankakee,17091,41.13778925142449,-87.86194837331986,2022,107421,65489,176800,2.7,1025,47.4,22.8,45312,421.8,10.4,68.1,75.5,35.2,60.5,14,69.9,14.5,1,11.5,0,93.06930693069307,89.10891089108911,68.31683168316832,90.0990099009901,40.5940594059406,76.2
DeKalb,17037,41.893226506570215,-88.77032468710071,2022,100686,68617,218600,3.19,1024,49.5,26.7,41399,411.2,5.5,60,66.4,18.1,52.1,15.4,74.4,7.5,2.4,12.3,0.1,96.03960396039604,98.01980198019803,79.20792079207921,97.02970297029702,6.9306930693069315,75.4
St. Clair,17163,38.470214497159645,-89.92825254315723,2022,256791,68915,158500,2.3,1002,43.3,21.8,115165,448.5,12.6,67.9,79.2,43.4,67.3,13.8,60.1,28.1,1.6,4.5,0.3,78.21782178217822,78.21782178217822,65.34653465346535,91.0891089108911,64.35643564356435,75.4
Peoria,17143,40.787910066450955,-89.76012321977613,2022,181186,63409,150400,2.37,909,43.4,24.4,84963,468.9,10.1,65.5,73.7,34.4,58,15.5,68,17.5,4.4,5.3,0.1,79.20792079207921,81.1881188118812,80.19801980198021,93.06930693069306,35.64356435643564,73.9
Coles,17029,39.5202836991237,-88.22177600708343,2022,47076,53732,114000,2.12,778,40.4,19.9,22786,484,10.5,60,61.8,22.2,19.4,19.4,89.7,3.5,0.9,2.9,0,69.3069306930693,62.37623762376238,94.05940594059405,97.02970297029702,43.56435643564357,73.3
Union,17181,37.47127097351739,-89.25510917663911,2022,17122,54090,129300,2.39,710,42.5,19.6,7869,459.6,14.1,78.5,79.3,0,63.6,20.1,90.6,1.5,0.3,5.3,0.2,75.24752475247524,84.15841584158416,97.02970297029702,35.64356435643564,74.25742574257426,73.3
Cook,17031,41.83962635779894,-87.81616888240244,2022,5225367,78304,293700,3.75,1318,45.2,23.6,2261319,432.8,8.6,57.5,67.6,40.9,53.4,13.4,41.1,22.4,7.6,25.9,0.1,86.13861386138613,100,57.42574257425742,98.01980198019803,22.772277227722775,72.9
Winnebago,17201,42.3361980272321,-89.16080727191643,2022,284591,61738,146800,2.38,941,45.2,23.6,125039,439.4,7.9,65.7,73.5,27.2,59.7,16.1,66.1,13,2.8,14.1,0,86.13861386138613,83.16831683168317,83.16831683168317,92.07920792079209,14.85148514851485,71.9
Pulaski,17153,37.223160358543815,-89.12663193180938,2022,5177,41038,81600,1.99,599,30.1,16.7,2862,552.8,34.1,71.7,77.8,58.4,85.2,25,62.8,31.4,0.2,1.9,0,23.762376237623762,50.495049504950494,100,78.21782178217822,96.03960396039604,69.7
Macon,17115,39.85987404535801,-88.96158894112965,2022,103542,59622,119800,2.01,774,37.3,19.5,49757,480.5,12.9,68.9,76.5,35.2,59.5,15.5,74.8,16.9,1.4,2.5,0,52.475247524752476,52.475247524752476,80.19801980198021,87.12871287128714,67.32673267326733,67.9
Massac,17127,37.218885742814834,-88.7074541951875,2022,14135,57365,115200,2.01,738,48.1,13.3,6832,483.3,20.8,78.1,79.3,70,26.7,13.8,86.2,6.3,0.4,3.2,0,95.04950495049505,52.475247524752476,65.34653465346535,36.633663366336634,88.11881188118812,67.5
Williamson,17199,37.73024628618122,-88.92992086552107,2022,67120,60325,139500,2.31,824,43.8,18.1,31811,473.9,10.3,71,72.6,30,51.8,13.2,88.5,3.3,1.5,2.9,0.3,81.1881188118812,79.20792079207921,54.45544554455446,80.19801980198021,39.603960396039604,66.9
Vermilion,17183,40.18304102396812,-87.73282060470757,2022,74113,52787,91000,1.72,769,38.8,19.2,34496,465.5,13.3,69.5,75.1,31.6,63.7,17.5,77.4,14.5,1,5.4,0.1,63.366336633663366,23.762376237623762,87.12871287128714,86.13861386138613,73.26732673267327,66.7
McLean,17113,40.49084772445634,-88.84741917676082,2022,171284,75356,191300,2.54,941,37.9,20.6,74822,436.8,8.5,65,69.3,31.1,54.1,14.2,78.3,8.4,5,5.3,0.1,58.415841584158414,87.12871287128714,71.28712871287128,94.05940594059405,20.792079207920793,66.3
Rock Island,17161,41.46738034021352,-90.56798211094646,2022,143819,64435,139800,2.17,846,42.3,20.2,66731,464,8.6,68.6,73.9,35.3,66.8,15.2,69.7,10.2,2.6,13.5,0.1,74.25742574257426,67.32673267326733,77.22772277227723,89.10891089108911,22.772277227722775,66.1
Johnson,17087,37.459606402643054,-88.88097114088542,2022,13313,63295,141200,2.23,630,39.3,28.8,5536,415.8,25.8,85.3,86.5,29.5,81,16.5,81.5,8.8,0.3,4,0,64.35643564356435,72.27722772277228,85.14851485148515,1.980198019801982,95.04950495049505,63.8
Stephenson,17177,42.35177760419422,-89.66225332030041,2022,44482,57527,122000,2.12,755,44.1,19.2,21402,481.1,9.6,69.5,74.7,30.4,58.5,13.3,81,8.7,0.9,4.6,0.1,83.16831683168317,62.37623762376238,55.44554455445545,86.13861386138613,31.683168316831683,63.8
Saline,17165,37.75304651703918,-88.54072798552738,2022,23662,51710,87900,1.7,720,43.6,25.8,11579,489.4,12.2,74.2,74.5,68.9,50.8,18,92,2.5,0.7,1.8,0.1,80.19801980198021,18.81188118811881,90.0990099009901,65.34653465346535,58.415841584158414,62.6
Sangamon,17167,39.75812036939727,-89.65909231839777,2022,196122,71653,162400,2.27,927,42,22.8,92938,473.9,9.6,70.1,77.1,27.8,55,12.9,78.8,12.6,2.2,2.5,0.1,72.27722772277228,74.25742574257426,50.495049504950494,84.15841584158416,31.683168316831683,62.6
Bond,17005,38.88679503405851,-89.43553751554636,2022,16750,58617,130300,2.22,698,36.3,21.8,6895,411.6,9.8,72,74.7,12.6,26.5,14.9,86.6,6.9,0.5,3.8,0.7,46.53465346534654,70.29702970297029,75.24752475247524,77.22772277227723,33.663366336633665,60.6
Franklin,17055,37.992289790422674,-88.92418553794651,2022,37810,51031,87500,1.71,725,38.3,19.8,18478,488.7,12.9,75.1,75.6,17.2,60.8,17.8,94.8,0.4,0.3,1.9,0.1,59.4059405940594,19.801980198019802,89.10891089108911,62.37623762376238,67.32673267326733,59.6
Lee,17103,41.74616802975642,-89.30033741544165,2022,34221,64588,147100,2.28,806,40.4,18.9,14993,438.1,8.8,70.8,71.8,45.3,58.6,12.5,85.3,5.3,0.6,6.8,0,69.3069306930693,75.24752475247524,46.53465346534654,82.17821782178218,24.752475247524753,59.6
Jefferson,17081,38.300465596180885,-88.92400461781452,2022,37043,58384,115000,1.97,838,36.7,17.9,16659,449.7,11.3,72,74.3,35.3,73,14.1,84.3,6.5,1,2.9,0.2,49.504950495049506,49.504950495049506,70.29702970297029,77.22772277227723,48.51485148514851,59
LaSalle,17099,41.34366256645284,-88.8860120092018,2022,109495,67942,147400,2.17,874,39.5,19.6,49796,454.8,9.4,73.4,75.1,5,65.8,13.7,83.7,2.7,0.9,10.5,0,66.33663366336634,67.32673267326733,60.396039603960396,69.3069306930693,29.7029702970297,58.6
Madison,17119,38.82972500803403,-89.90486202272683,2022,265512,71759,159400,2.22,938,44.4,21.4,118715,447.1,8.3,73.1,77.8,30.8,65.4,12,83.3,8.5,0.9,3.7,0.1,85.14851485148515,70.29702970297029,41.584158415841586,73.26732673267327,19.801980198019802,58
Jo Daviess,17085,42.36578668736831,-90.21244028585478,2022,21942,67729,179300,2.65,768,42.9,23.3,13439,612.5,25,79.9,80.3,26.7,76.2,7.8,93.4,0.8,0.5,3.3,0.1,76.23762376237624,88.11881188118812,8.91089108910891,21.78217821782178,94.05940594059405,57.8
Adams,17001,39.98777031083264,-91.18845652194672,2022,65583,63767,151300,2.37,782,38.4,17.9,30226,460.9,9.1,72.2,74,34.6,52.3,12.1,90.7,3.9,0.7,1.8,0.1,61.386138613861384,81.1881188118812,42.57425742574257,75.24752475247524,25.742574257425744,57.2
Randolph,17157,38.052071866499936,-89.82510514325686,2022,30413,63860,129400,2.03,740,37.3,15.5,13412,441,13.1,76,78,30.8,38,12.5,86.4,7.9,0.7,3.2,0.1,52.475247524752476,55.44554455445545,46.53465346534654,57.425742574257434,71.28712871287128,56.6
Pope,17151,37.41251262529344,-88.56149809434429,2022,3799,57582,137500,2.39,393,16.7,6.4,2317,609.9,41.8,82.7,82.9,100,100,18.7,89.4,3.3,0,3.1,1.3,0.9900990099009901,84.15841584158416,91.0891089108911,6.930693069306926,98.01980198019803,56.2
Morgan,17137,39.71553386512358,-90.20129773531136,2022,32882,61188,122000,1.99,700,36.1,13.8,15072,458.4,11.8,71,73.3,25.9,59.1,12.9,87.9,5,0.8,2.7,0.1,44.554455445544555,50.495049504950494,50.495049504950494,80.19801980198021,52.475247524752476,55.6
Marion,17121,38.64951922415632,-88.91899716286756,2022,37543,59099,96200,1.63,734,35.8,17.2,17431,464.3,12.6,73.8,75,42.2,69.9,17,90.2,4.3,0.7,2.2,0,42.57425742574257,9.900990099009901,86.13861386138613,67.32673267326732,64.35643564356435,54.1
Fayette,17051,39.00005511508077,-89.02413460803372,2022,21464,51962,111500,2.15,716,33.5,15.9,8839,411.8,13.1,79.7,78.9,100,58.1,14.7,89.3,3.5,0.5,2.3,0.4,34.65346534653465,66.33663366336634,73.26732673267327,23.762376237623762,71.28712871287128,53.9
Macoupin,17117,39.26076573106186,-89.92445316953678,2022,44907,64706,121300,1.87,796,34.1,19.2,21091,469.7,16.7,77.8,78.8,38.5,38.7,14.7,95,1.1,0.5,1.3,0.1,36.633663366336634,34.65346534653465,73.26732673267327,41.584158415841586,83.16831683168317,53.9
Kane,17089,41.9386447963278,-88.42866102384869,2022,517254,96400,290100,3.01,1335,46.8,22.7,188854,365.1,3.5,75.2,81.8,46.8,61.7,8.3,55.5,5,3.8,32.6,0.1,92.07920792079209,96.03960396039604,14.85148514851485,61.386138613861384,0.9900990099009901,53.1
Perry,17145,38.08372352306206,-89.3669914084524,2022,20996,56338,102000,1.81,656,37.3,16.8,9170,436.7,11.2,76.9,78.8,52.9,70.6,17.5,86,7.9,0.6,3.2,0,52.475247524752476,31.683168316831683,87.12871287128714,47.524752475247524,46.53465346534654,53.1
Whiteside,17195,41.7562163041073,-89.91412668291984,2022,55569,62828,122200,1.94,785,42.9,17.4,25860,465.4,10.4,74.4,76.9,20.9,61.6,11.6,82.6,1.1,0.5,12.7,0.1,76.23762376237624,45.54455445544555,38.613861386138616,64.35643564356435,40.5940594059406,53.1
White,17193,38.08738977248988,-88.17960141830488,2022,13834,54605,101000,1.85,672,26.2,15.3,6778,490,16.3,76.4,76.9,23.1,43.5,15.3,96,0.8,0.5,1.5,0.1,11.881188118811881,33.663366336633665,78.21782178217822,54.45544554455446,82.17821782178217,52.1
Lake,17097,42.32323827759614,-88.0036551962103,2022,713159,104553,313700,3,1382,44,21.5,269416,377.8,5.4,73.8,81.4,39.8,58.8,7.8,58.9,6.5,8.4,22.8,0.1,82.17821782178217,95.04950495049505,8.91089108910891,67.32673267326732,5.9405940594059405,51.9
Alexander,17003,37.19143870346038,-89.33745023062926,2022,5261,40365,58600,1.45,652,27.8,11.8,3000,570.2,42.4,77.9,83.6,69.6,NA,21.4,63.5,33.2,0.2,1,0,14.85148514851485,1.9801980198019802,98.01980198019803,38.613861386138616,99.00990099009901,50.5
DuPage,17043,41.851897500474045,-88.08557781710607,2022,930559,107035,361700,3.38,1551,42,20.1,365347,392.6,4.5,73.1,79.1,28.8,55.4,6.3,64.5,4.7,12.5,14.8,0,72.27722772277228,99.00990099009901,3.9603960396039604,73.26732673267327,3.9603960396039604,50.5
Bureau,17011,41.404108827441554,-89.52872546114075,2022,33203,64165,120200,1.87,787,38.3,15.2,15640,471,11.1,75.9,75.9,60,78.2,12.6,86,0.6,0.9,9.9,0.1,59.4059405940594,34.65346534653465,49.504950495049506,58.41584158415842,45.54455445544555,49.5
Lawrence,17101,38.7199189895974,-87.7268280686527,2022,15302,55811,93900,1.68,781,30.7,7.4,6355,415.3,14.6,74.9,76.9,1.3,100,13.7,84.8,8,0.4,2.3,0.2,25.742574257425744,16.831683168316832,60.396039603960396,63.366336633663366,78.21782178217822,48.9
Fulton,17057,40.4725765065336,-90.20761781708477,2022,33691,57223,99800,1.74,782,37.7,14.3,15895,471.8,12.2,77.8,78.4,37.5,54.1,13.4,92,2.6,0.3,2.9,0.5,55.44554455445545,25.742574257425744,57.42574257425742,41.584158415841586,58.415841584158414,47.7
Richland,17159,38.71238297589777,-88.08509920482969,2022,15716,61607,106400,1.73,724,28.9,13.6,7364,468.6,11.9,73.1,74.5,5.9,10.1,13.7,94.2,0.6,0.3,1.8,0,19.801980198019802,24.752475247524753,60.396039603960396,73.26732673267327,55.44554455445545,46.7
Carroll,17015,42.068735143394854,-89.93422975891374,2022,15594,61539,109900,1.79,751,31.7,11.6,8197,525.7,22.9,77.2,78.2,100,47.4,11.2,89.3,3.3,0.7,4.6,0.3,28.71287128712871,29.7029702970297,35.64356435643564,44.55445544554455,93.06930693069307,46.3
