county_name,fips,latitude,longitude,year,total_pop,median_income,median_home_value,price_to_income,median_gross_rent,rent_burden_pct,severe_rent_burden_pct,total_housing_units,housing_units_per_1k,vacancy_rate_pct,homeownership_pct,homeownership_white_nh_pct,homeownership_black_pct,homeownership_hispanic_pct,poverty_rate_pct,pct_white_nh,pct_black_nh,pct_asian_nh,pct_hispanic,pct_aian_nh,ptile_rent_burden,ptile_price_income,ptile_poverty,ptile_homeownership,ptile_vacancy,composite_score
Iroquois,17075,40.7470482874999,-87.82434773990134,2022,27043,62866,120900,1.92,773,39.5,15.6,12815,473.9,12.5,79.2,79.9,41.5,73.7,10.7,88.5,1,0.3,7.6,0.1,66.33663366336634,41.584158415841586,32.67326732673268,29.702970297029708,61.386138613861384,46.3
Gallatin,17059,37.76274911710452,-88.23051425103903,2022,4967,51868,81000,1.56,532,21.9,5.6,2512,505.7,14.2,76.7,76.2,100,NA,19.2,94.1,0.3,0.1,0.3,0.4,4.9504950495049505,4.9504950495049505,93.06930693069307,51.48514851485149,76.23762376237624,46.1
Greene,17061,39.356091111042666,-90.39055704425432,2022,12015,58900,92400,1.57,741,30.4,14.9,5820,484.4,21.9,76.9,76.9,0,30,13.7,96.5,0.9,0.2,1.3,0.1,24.752475247524753,5.9405940594059405,60.396039603960396,47.524752475247524,92.07920792079209,46.1
Montgomery,17135,39.23090809479144,-89.47879030412774,2022,28352,61796,102000,1.65,684,37.1,13.9,12539,442.3,10.2,75.4,76.3,100,36.3,14,92.4,2.8,0.5,1.9,0.1,51.48514851485149,11.881188118811881,68.31683168316832,60.396039603960396,38.613861386138616,46.1
Pike,17149,39.6224582887567,-90.88625772509108,2022,14776,55514,97000,1.75,641,28.6,17.2,7308,494.6,21.5,79,80.1,0,52.6,13.5,95.5,0.7,0.3,1.5,0,17.82178217821782,27.722772277227726,59.4059405940594,31.68316831683168,90.0990099009901,45.3
Wayne,17191,38.429555151275814,-88.42555737210989,2022,16127,53522,107900,2.02,607,29.2,11.6,7694,477.1,11,78.6,79.1,9.1,53.8,13.9,95.8,0.7,0.5,1.7,0,20.792079207920793,54.45544554455446,67.32673267326733,34.65346534653465,44.554455445544555,44.4
Clay,17025,38.75412963157227,-88.49020981230579,2022,13248,58028,103600,1.79,706,24.7,5.9,6171,465.8,11.2,76.7,77.1,NA,0,15.7,95.3,0.5,0.3,0.2,0.6,10.891089108910892,29.7029702970297,82.17821782178217,51.48514851485149,46.53465346534654,44.2
Marshall,17123,41.0332308542029,-89.34469432144849,2022,11740,64940,124600,1.92,746,30,13.3,5828,496.4,14.8,78.7,79.3,NA,58.6,12.3,92.9,0.5,0.2,3.1,0,22.772277227722775,41.584158415841586,44.554455445544555,32.67326732673267,79.20792079207921,44.2
Jersey,17083,39.08547449370874,-90.3565103771027,2022,21462,77607,161800,2.08,778,34.8,12.7,9834,458.2,21.3,81.1,81.4,100,69.2,8.1,95.3,0.7,0.6,1.5,0,39.603960396039604,59.4059405940594,13.861386138613863,16.831683168316836,89.10891089108911,43.8
Logan,17107,40.12443217906263,-89.36744906341927,2022,28027,62547,118200,1.89,761,36.4,14.5,11985,427.6,7.4,70.6,72.1,15.5,77.9,11.5,86.7,6,0.3,3.5,0,47.524752475247524,37.62376237623762,36.633663366336634,83.16831683168317,12.871287128712872,43.6
De Witt,17039,40.17464053399948,-88.90413061338633,2022,15535,61823,121100,1.96,801,37.7,11,7333,472,9.4,76.4,77.3,12.5,79.3,10.2,94.2,0.8,0.2,3,0.1,55.44554455445545,47.524752475247524,29.7029702970297,54.45544554455446,29.7029702970297,43.4
Putnam,17155,41.20446588088603,-89.2857696822477,2022,5628,75726,161500,2.13,766,32.9,18.3,3071,545.7,21.8,82.2,82.2,NA,84.3,8.8,90.9,0.3,0.7,6.3,0,30.693069306930692,64.35643564356435,18.81188118811881,11.881188118811881,91.0891089108911,43.4
Schuyler,17169,40.15805410937795,-90.61495834601294,2022,6879,63737,100500,1.58,817,24.5,9.5,3316,482,17.8,80.7,81.9,0,16.7,19.5,91.4,3.4,0.3,2.5,0,9.900990099009901,7.920792079207921,95.04950495049505,18.811881188118807,85.14851485148515,43.4
Calhoun,17013,39.168990592702585,-90.66729712752291,2022,4472,88059,160900,1.83,448,39.4,15.9,2322,519.2,48.1,89,88.8,NA,100,8.4,95.1,0.7,0,0.8,0.2,65.34653465346535,32.67326732673268,16.831683168316832,0,100,43
Stark,17175,41.09334423772365,-89.79750487912962,2022,5395,58125,95900,1.65,758,38.5,18.8,2588,479.7,10.1,76,76.3,46.7,69,12.5,93.1,1.1,0.9,2.3,0,62.37623762376238,11.881188118811881,46.53465346534654,57.425742574257434,35.64356435643564,42.8
Tazewell,17179,40.50741008794333,-89.51351173470047,2022,131276,74606,159100,2.13,850,39.8,20.5,58634,446.6,8.5,77.3,78,2.7,77.4,8.7,92.9,1.2,1,2.6,0.1,68.31683168316832,64.35643564356435,17.82178217821782,42.57425742574258,20.792079207920793,42.8
Ogle,17141,42.04265408418585,-89.32063910337237,2022,51672,75782,172900,2.28,841,33,12.3,22640,438.1,8.1,73.2,74.8,47.5,61,8.3,84.6,1.1,0.5,10.9,0.1,33.663366336633665,75.24752475247524,14.85148514851485,70.29702970297029,16.831683168316832,42.2
Brown,17009,39.961762425299646,-90.75033345091684,2022,6334,64760,122100,1.89,625,24.4,4,2342,369.8,11.8,70.8,70.2,NA,100,10,75.4,16.4,0,6.9,0.4,8.91089108910891,37.62376237623762,28.71287128712871,82.17821782178218,52.475247524752476,42
Clark,17023,39.33358182361092,-87.78773008727572,2022,15467,65874,112400,1.71,816,45.9,24.7,7365,476.2,12.5,80.7,81,0,100,9,96.2,0.8,0.2,1.7,0,88.11881188118812,19.801980198019802,19.801980198019802,18.811881188118807,61.386138613861384,41.6
Edwards,17047,38.41641836696924,-88.05331493973235,2022,6182,60784,92700,1.53,710,32.5,6.2,3055,494.2,14.1,79.2,79.8,NA,60.7,14.2,95.6,0.1,0.3,1.4,0,29.7029702970297,2.9702970297029703,71.28712871287128,29.702970297029708,74.25742574257426,41.6
Ford,17053,40.5968205229326,-88.22334991945225,2022,13484,58930,113400,1.92,708,35.2,18.1,6266,464.7,9.2,76.3,77.5,0,51.6,12.1,90.9,0.5,0.7,4.1,0.1,40.5940594059406,41.584158415841586,42.57425742574257,55.44554455445545,27.722772277227726,41.6
Christian,17021,39.545710791907055,-89.27726824183375,2022,33893,56933,108800,1.91,705,31.4,17.1,15210,448.8,11.4,76.8,77.4,12,67.8,11.9,93,2.6,0.7,2,0.1,26.732673267326735,39.603960396039604,40.5940594059406,49.504950495049506,49.504950495049506,41.2
Grundy,17063,41.28501401238954,-88.41847915358521,2022,52624,89993,245400,2.73,1126,36.5,21.9,21195,402.8,3.9,75.8,77.7,56.5,62.4,6,84.1,1.8,0.6,10.9,0.1,48.51485148514851,92.07920792079209,1.9801980198019802,59.4059405940594,2.9702970297029703,41
Hancock,17067,40.40363212904199,-91.16479452527292,2022,17582,61026,104200,1.71,736,33.7,11.8,8956,509.4,16.1,81.7,82.9,0,16.8,13.1,95.1,0.7,0.3,1.8,0.1,35.64356435643564,19.801980198019802,53.46534653465347,14.851485148514854,81.1881188118812,41
Will,17197,41.444971751545154,-87.97845278682468,2022,696774,103678,283600,2.74,1342,46.6,23.1,251029,360.3,4.8,82.2,87.5,60.1,73.4,6.7,60.9,11.3,5.8,18.6,0.1,90.0990099009901,93.06930693069307,4.9504950495049505,11.881188118811881,4.9504950495049505,41
Wabash,17185,38.44600845779254,-87.8444023382372,2022,11321,54074,94100,1.74,728,29.5,19.7,5411,478,11.7,76.8,78.3,0,41.1,13.3,92.3,1,1.1,3,0,21.782178217821784,25.742574257425744,55.44554455445545,49.504950495049506,50.495049504950494,40.6
Mason,17125,40.23963236708117,-89.91701943754477,2022,13074,58479,97000,1.66,747,35.2,21.1,6646,508.3,12.9,80.4,80.5,100,100,13.7,95.9,0.5,0.3,1.4,0.1,40.5940594059406,13.861386138613863,60.396039603960396,19.8019801980198,67.32673267326733,40.4
McHenry,17111,42.324360788123094,-88.45232744806661,2022,311133,100101,270600,2.7,1310,47.7,22.9,119985,385.6,3.8,82.2,83.5,57.3,73.6,6,78.7,1.5,2.8,14.3,0.1,94.05940594059405,89.10891089108911,1.9801980198019802,11.881188118811881,1.9801980198019802,39.8
Mercer,17131,41.20539842668224,-90.74136261445682,2022,15692,67028,131000,1.95,759,37.8,12.9,7311,465.9,12,79.5,79.9,20,68.2,8,94.1,0.6,0.4,2.8,0,57.42574257425742,46.53465346534654,11.881188118811881,26.732673267326735,56.43564356435643,39.8
Boone,17007,42.32295820116818,-88.82337329705675,2022,53459,80502,181700,2.26,938,44.3,18.2,20183,377.5,5.7,83.9,84.7,70.4,81,9.8,70.5,2.1,0.9,23.5,0.1,84.15841584158416,73.26732673267327,27.722772277227726,4.950495049504955,7.920792079207921,39.6
Shelby,17173,39.39107607097005,-88.80544151733383,2022,21042,65585,125200,1.91,768,32.9,19.4,10053,477.8,12.8,79.2,79.3,100,71,10.3,96.5,0.3,0.3,1.2,0.1,30.693069306930692,39.603960396039604,31.683168316831683,29.702970297029708,66.33663366336634,39.6
Kendall,17093,41.59052840458531,-88.42878295211482,2022,132795,106358,288100,2.71,1695,51.6,23.9,45078,339.5,2.7,84.1,86.3,69.1,79.8,4.7,64.9,7.8,2.9,21,0,99.00990099009901,91.0891089108911,0.9900990099009901,3.960396039603964,0,39
Douglas,17041,39.769477891328386,-88.21737965229813,2022,19714,67177,137100,2.04,748,36,15.1,8484,430.4,9.9,78.6,79.6,54,68.5,9.5,88.7,1.1,0.6,7.6,0.2,43.56435643564357,56.43564356435643,24.752475247524753,34.65346534653465,34.65346534653465,38.8
Hamilton,17065,38.08145824192757,-88.53911172507652,2022,8008,60574,100300,1.66,690,22.3,8.6,3821,477.1,14.4,77.1,78.5,NA,100,12.9,95.1,0.1,0.4,2,0.2,5.9405940594059405,13.861386138613863,50.495049504950494,45.54455445544554,77.22772277227723,38.6
Monroe,17133,38.27846784267757,-90.17721194389902,2022,34905,100685,254100,2.52,956,46.2,13.6,14560,417.1,6.8,84.1,83.8,81.2,96.6,4.3,95.6,0.6,0.6,1.7,0.1,89.10891089108911,86.13861386138613,0,3.960396039603964,10.891089108910892,38
Livingston,17105,40.89147292842105,-88.55753367821409,2022,35771,68175,128100,1.88,836,32.9,13.1,15909,444.7,7.8,72.3,72.8,55,67.7,10.2,88.9,3.6,0.5,5.1,0,30.693069306930692,36.633663366336634,29.7029702970297,74.25742574257426,13.861386138613863,37
Effingham,17049,39.05975952669894,-88.5898410157523,2022,34594,73181,166500,2.28,697,27.5,12.5,15313,442.6,7.9,77.8,78.2,0,69.5,10.8,95.2,0.5,0.7,2.2,0,13.861386138613863,75.24752475247524,33.663366336633665,41.584158415841586,14.85148514851485,35.8
Woodford,17203,40.78825218080878,-89.21129827142333,2022,38414,80093,186100,2.32,938,41.3,17.8,15711,409,6.3,82.3,82.4,56.7,89.7,7.5,94.6,0.6,0.5,1.9,0,71.28712871287128,80.19801980198021,7.920792079207921,8.910891089108908,9.900990099009901,35.6
Warren,17187,40.84862070243444,-90.615010111355,2022,16760,62700,98200,1.57,697,23.7,10.4,7602,453.6,10.1,76.5,77.3,33.7,79.8,14.9,81.9,3.8,1.5,10.3,0.2,6.9306930693069315,5.9405940594059405,75.24752475247524,52.475247524752476,35.64356435643564,35.2
Hardin,17069,37.51818576342323,-88.26678839904886,2022,3665,53026,90600,1.71,318,13.3,7.8,2263,617.5,34.6,80.1,80.1,NA,85.7,11.5,96.8,1.1,0,1,0,0,19.801980198019802,36.633663366336634,20.79207920792079,97.02970297029702,34.9
Henry,17073,41.35304270675337,-90.13149010713838,2022,49157,66313,138900,2.09,814,34.3,16,22213,451.9,9.1,79.8,82.3,12.8,55.8,9.2,88.5,2.1,0.5,6.2,0,37.62376237623762,60.396039603960396,21.782178217821784,22.77227722772277,25.742574257425744,33.7
Menard,17129,40.02741590528893,-89.80224524981351,2022,12284,84846,177100,2.09,748,34.4,16.2,5605,456.3,9.3,79.6,79.7,NA,NA,7.9,95.1,0.9,0.4,1.3,0,38.613861386138616,60.396039603960396,10.891089108910892,25.742574257425744,28.71287128712871,32.9
Clinton,17027,38.606486880044415,-89.42259110580179,2022,36998,78054,171500,2.2,888,36.7,19.1,15628,422.4,7.3,79.6,81.2,57.1,30.4,7.2,91.1,2.9,0.6,3.3,0,49.504950495049506,69.3069306930693,5.9405940594059405,25.742574257425744,11.881188118811881,32.5
Edgar,17045,39.67846011716341,-87.7455720510352,2022,16852,56687,94100,1.66,716,28.8,9.4,8265,490.4,8.1,73.7,73.7,100,57.6,11.8,96.5,0.5,0.4,1.3,0,18.81188118811881,13.861386138613863,39.603960396039604,68.31683168316832,16.831683168316832,31.5
Cass,17017,39.97359008239292,-90.24744034163214,2022,12955,64826,92000,1.42,681,20.8,8.8,5684,438.7,12,77.2,79.6,57.3,69,12.3,73.3,3.4,0.8,20.3,0.1,3.9603960396039604,0.9900990099009901,44.554455445544555,44.55445544554455,56.43564356435643,30.1
Crawford,17033,39.00265169273086,-87.75949869055816,2022,18729,64163,108200,1.69,763,28,12.5,8481,452.8,11.8,79,78.5,NA,98.9,9.6,90.8,4.5,0.4,2.5,0.1,15.841584158415841,17.82178217821782,25.742574257425744,31.68316831683168,52.475247524752476,28.7
Scott,17171,39.6440337035921,-90.47460060254215,2022,4899,70500,95000,1.35,619,23.9,7.7,2389,487.7,18.3,82,81.9,NA,NA,11,95.7,0,0.8,1.4,0.1,7.920792079207921,0,34.65346534653465,12.871287128712872,86.13861386138613,28.3
Henderson,17071,40.81790041929086,-90.92522252290838,2022,6374,64946,99800,1.54,732,31.4,9.6,3387,531.4,19,86.3,86.6,NA,100,9.1,94.3,0.2,0,1.9,0,26.732673267326735,3.9603960396039604,20.792079207920793,0.990099009900991,87.12871287128714,27.9
Piatt,17147,40.010126303729194,-88.59116138904767,2022,16698,81151,168300,2.07,917,36.2,21.1,7377,441.8,8.1,83.3,83.3,0,100,7.2,95.6,0.9,0.1,1.5,0,45.54455445544555,58.415841584158414,5.9405940594059405,5.940594059405946,16.831683168316832,26.5
Jasper,17079,39.01000263839026,-88.15384470230401,2022,9295,67429,117900,1.75,770,16.7,8.1,4225,454.5,12.2,81.8,82.1,NA,26.2,9.2,96.4,0.2,0.1,1.8,0,0.9900990099009901,27.722772277227726,21.782178217821784,13.861386138613863,58.415841584158414,24.6
Washington,17189,38.352187747454,-89.41051601941847,2022,13781,75111,147100,1.96,801,26.4,9.9,6415,465.5,10.4,82.4,82.9,55.6,83.3,8,95.4,0.5,0.2,1.5,0.1,12.871287128712872,47.524752475247524,11.881188118811881,7.920792079207917,40.5940594059406,24.2
Cumberland,17035,39.27337377033135,-88.24019487534677,2022,10447,71274,116000,1.63,683,19.9,9.1,4734,453.1,12.5,81.1,82,NA,0,9.7,96,0.1,0.1,1.7,0,2.9702970297029703,9.900990099009901,26.732673267326735,16.831683168316836,61.386138613861384,23.6
Moultrie,17139,39.64139686406198,-88.61923884615975,2022,14531,72833,116400,1.6,767,28.3,10.7,6196,426.4,6,78,78.2,26.9,67.5,9.2,95.8,1,0.1,1.7,0,16.831683168316832,8.91089108910891,21.782178217821784,37.62376237623762,8.91089108910891,18.8
